rolling_day,horizon_days,num_service_days,target_avg_interstop_min,pickups_today,pickup_gal_today,pickup_lb_today,routes_today,route_minutes_today,overtime_today,extra_dumps_today,capacity_time_violations,overflow_bins_start_of_day,routing_feasible,dropped_stops,missing_routed_serials,extra_routed_serials,planner_status,planner_objective,historical_date,historical_pickups,historical_unique_bins,historical_avg_fullness_pct,historical_route_minutes_proxy,pickup_count_difference_model_minus_actual,pickup_count_ratio_model_to_actual,route_minutes_difference_model_minus_historical_proxy,route_minutes_ratio_model_to_historical_proxy
1,7,5,8.0,56,2659.96,2561.53,4,375.0,0.0,3.0,0,9,True,0,0,0,Optimal,2310.511,2026-02-04,115,96,,1380.0,-59,0.48695652173913045,-1005.0,0.2717391304347826
2,7,5,8.0,52,1772.9,1599.11,4,374.0,0.0,3.0,0,0,True,0,0,0,Optimal,1926.409,2026-02-05,66,55,,792.0,-14,0.7878787878787878,-418.0,0.4722222222222222
