Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515681,U02 Spieker Plaza Center,Smart Max,Waste,Fullness,60%,1/9/2023 6:45,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,60%,1/9/2023 6:45,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,1/9/2023 6:49,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Not Ready,20%,1/9/2023 6:49,-
1515697,E13 Stanley Hall,Smart Max,Waste,Fullness,60%,1/9/2023 7:29,-
1516546,West Circle,Smart Max,Compostables,Fullness,80%,1/9/2023 7:38,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,60%,1/9/2023 7:44,-
1503632,W08 University Drive,Smart Max,Waste,Fullness,60%,1/9/2023 7:58,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,60%,1/9/2023 8:02,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Not Ready,20%,1/9/2023 8:44,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Not Ready,60%,1/9/2023 10:46,-
1515738,U05 Cesar Chavez,Smart Max,Bottles/Cans,Fullness,80%,1/9/2023 11:54,-
1515740,U04 Zellerbach,Smart Max,Bottles/Cans,Fullness,60%,1/9/2023 11:59,-
1515721,U02 Spieker Plaza Center,Smart Max,Bottles/Cans,Fullness,80%,1/9/2023 12:04,-
1516530,U33 Spieker Plaza,Smart Max,Bottles/Cans,Fullness,80%,1/9/2023 12:06,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,1/9/2023 13:06,-
1515715,E04 North Gate Entrance,Smart Max,Compostables,Not Ready,40%,1/9/2023 19:54,-
1515688,W01 Lower Crescent,Smart Max,Compostables,Fullness,60%,1/10/2023 6:34,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Fullness,80%,1/10/2023 6:44,-
1515678,U20 Sproul Hall UCPD,Smart Max,Waste,Fullness,60%,1/10/2023 6:59,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,100%,1/10/2023 7:05,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Not Ready,20%,1/10/2023 8:34,-
1520917,E30 Tan Hall North Side,Smart Max,Waste,Not Ready,0%,1/10/2023 10:05,-
1516539,W15 Koshland,Smart Max,Compostables,Fullness,80%,1/11/2023 6:26,-
1515752,E29 Campanile East,Smart Max,Compostables,Not Ready,20%,1/11/2023 6:48,-
