Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515704,E05 V&A Cafe/Etcheverry,Smart Max,Waste,Fullness,100%,4/5/2023 9:23,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,60%,4/5/2023 9:44,-
1515750,E02 North Entrance Memorial Glade,Smart Max,Compostables,Fullness,80%,4/5/2023 11:40,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Fullness,60%,4/5/2023 11:43,-
1515668,E25 Cronk Gate,Smart Max,Waste,Fullness,60%,4/5/2023 11:47,-
1503625,E14 Physics,Smart Max,Waste,Fullness,60%,4/5/2023 11:52,-
1515784,U19 Wheeler Walkway,Smart Max,Compostables,Fullness,60%,4/5/2023 12:01,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,60%,4/5/2023 12:04,-
1503628,E28 Library/Campanile Way,Smart Max,Waste,Fullness,60%,4/5/2023 12:06,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,60%,4/5/2023 12:09,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Not Ready,40%,4/5/2023 12:09,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,4/5/2023 12:13,-
2503760,U26 A&E Sproul,Smart Max,Compostables,Fullness,80%,4/5/2023 12:29,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,60%,4/5/2023 12:44,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,80%,4/5/2023 12:49,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,4/5/2023 12:51,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,60%,4/5/2023 13:03,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,60%,4/5/2023 14:34,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,80%,4/5/2023 14:43,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,60%,4/5/2023 14:50,-
1515775,U18 Dwinelle Walkway,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:27,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,60%,4/6/2023 6:30,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,60%,4/6/2023 6:31,-
1515778,U15 Sather Gate,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:32,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,80%,4/6/2023 6:34,-
1515724,U11 Golden Bear Cafe Entry,Smart Max,Bottles/Cans,Fullness,100%,4/6/2023 6:38,-
1515738,U05 Cesar Chavez,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:43,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,4/6/2023 6:44,-
1515677,U06 Bear's Lair,Smart Max,Waste,Fullness,60%,4/6/2023 6:47,-
1515679,U04 Zellerbach,Smart Max,Waste,Fullness,60%,4/6/2023 6:48,-
1515722,U09 MLK Ramp,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:50,-
1515773,U07 Cal Book Store,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:52,-
1516539,W15 Koshland,Smart Max,Compostables,Not Ready,40%,4/6/2023 6:56,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,4/6/2023 6:58,-
1515721,U02 Spieker Plaza Center,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 6:59,-
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,4/6/2023 7:02,-
1515719,W03 Li Ka Shing Hall,Smart Max,Compostables,Not Ready,40%,4/6/2023 7:10,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,60%,4/6/2023 7:13,-
1515739,U17 Dwinelle Plaza Entry,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 7:13,-
1503649,W04 Morgan Hall,Smart Max,Compostables,Not Ready,40%,4/6/2023 7:15,-
1503642,E14 Physics,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 7:16,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,60%,4/6/2023 7:17,-
1515727,E16 Campanile,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 7:19,-
1503634,E19 South Path Drive,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 7:21,-
1503614,W08 University Drive,Smart Max,Compostables,Fullness,80%,4/6/2023 7:22,-
1503646,E17 Tan/Campbell,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 7:23,-
1520922,E26  Bechtel West Side,Smart Max,Compostables,Fullness,60%,4/6/2023 7:25,-
1515752,E29 Campanile East,Smart Max,Compostables,Fullness,60%,4/6/2023 7:32,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,4/6/2023 7:44,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Fullness,100%,4/6/2023 7:52,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,100%,4/6/2023 7:58,-
1515765,E02 North Entrance Memorial Glade,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 8:06,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,4/6/2023 8:10,-
2503771,U21 Social Sciences Building,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 8:13,-
1516534,U32 HFA / Hearst Gym - West Side,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 8:14,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,60%,4/6/2023 8:16,-
1503639,E22 May Morrison Hall,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 8:21,-
1516524,U30 Birge Path,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 8:25,-
1516527,U28 Wheeler,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 8:33,-
1515695,E15 Bancroft Library,Smart Max,Waste,Fullness,60%,4/6/2023 8:49,-
2502339,W18 Campanile Way West Entrance,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 8:52,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,80%,4/6/2023 8:58,-
1515671,"U24 Rice & Bones, Wurster",Smart Max,Waste,Fullness,60%,4/6/2023 9:02,-
1503638,W08 University Drive,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 9:24,-
1516531,W17 Mulford Hall,Smart Max,Bottles/Cans,Fullness,100%,4/6/2023 9:24,-
1515761,E05 V&A Cafe/Etcheverry,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 9:30,-
1503647,E28 Library/Campanile Way,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 9:36,-
1516552,West Circle,Smart Max,Waste,Fullness,60%,4/6/2023 9:36,-
1514020,E21 Cafe Think,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 9:40,-
1520905,E30 Tan Hall North Side,Smart Max,Bottles/Cans,Fullness,60%,4/6/2023 9:54,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,60%,4/6/2023 10:25,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Fullness,80%,4/6/2023 10:33,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,4/6/2023 10:40,-
1515725,U27 Anthony Hall,Smart Max,Single Stream,Not Ready,0%,4/6/2023 10:51,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,100%,4/6/2023 11:24,-
1515697,E13 Stanley Hall,Smart Max,Waste,Fullness,60%,4/6/2023 11:35,-
1520928,U23 Law Building west of Heyman Terrace,Smart Max,Compostables,Fullness,60%,4/6/2023 12:30,-
1515714,"U24 Rice & Bones, Wurster",Smart Max,Compostables,Fullness,60%,4/6/2023 12:32,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,100%,4/6/2023 13:03,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Not Ready,20%,4/6/2023 13:12,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,4/6/2023 13:17,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,4/6/2023 13:21,-
2503769,U03 Grade Street,Smart Max,Waste,Fullness,60%,4/6/2023 13:25,-
1520926,UC Botanical Gardens,Smart Max,Compostables,Not Ready,20%,4/6/2023 13:48,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,4/6/2023 15:43,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,4/6/2023 15:47,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,60%,4/6/2023 15:52,-
1503616,W18 Campanile Way West Entrance,Smart Max,Compostables,Fullness,60%,4/7/2023 6:26,-
1515757,W12 VLSB/Campanile Way,Smart Max,Compostables,Fullness,60%,4/7/2023 6:29,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,100%,4/7/2023 6:34,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,60%,4/7/2023 6:37,-
1515784,U19 Wheeler Walkway,Smart Max,Compostables,Fullness,60%,4/7/2023 6:41,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Fullness,60%,4/7/2023 6:41,-
1515786,U15 Sather Gate,Smart Max,Compostables,Not Ready,40%,4/7/2023 6:45,-
1515681,U02 Spieker Plaza Center,Smart Max,Waste,Fullness,60%,4/7/2023 6:46,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,80%,4/7/2023 6:49,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,4/7/2023 6:52,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Fullness,100%,4/7/2023 6:57,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Fullness,60%,4/7/2023 6:59,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,4/7/2023 7:10,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,60%,4/7/2023 7:27,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,4/7/2023 7:30,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,60%,4/7/2023 7:32,-
1515818,U04 Zellerbach,Smart Max,Compostables,Fullness,60%,4/7/2023 7:36,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,40%,4/7/2023 7:42,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,4/7/2023 7:56,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,4/7/2023 8:01,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,60%,4/7/2023 8:06,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,4/7/2023 8:11,-
2503764,U21 Social Sciences Building,Smart Max,Compostables,Fullness,40%,4/7/2023 8:16,-
1503637,E22 May Morrison Hall,Smart Max,Compostables,Fullness,80%,4/7/2023 8:27,-
2503766,U21 Social Sciences Building,Smart Max,Waste,Fullness,60%,4/7/2023 8:35,-
1516556,U28 Wheeler,Smart Max,Waste,Fullness,80%,4/7/2023 8:43,-
1516551,U30 Birge Path,Smart Max,Waste,Fullness,60%,4/7/2023 8:50,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Fullness,80%,4/7/2023 8:54,-
1516547,E31 South Hall Rd. Near Clock Tower,Smart Max,Waste,Fullness,60%,4/7/2023 9:00,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,4/7/2023 9:08,-
1515719,W03 Li Ka Shing Hall,Smart Max,Compostables,Fullness,60%,4/7/2023 9:13,-
2503761,W06 West Circle,Smart Max,Compostables,Fullness,60%,4/7/2023 9:22,-
1515710,E29 Campanile East,Smart Max,Waste,Fullness,80%,4/7/2023 9:29,-
1503625,E14 Physics,Smart Max,Waste,Fullness,60%,4/7/2023 9:34,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Fullness,80%,4/7/2023 9:35,-
2503765,E18 Latimer Courtyard,Smart Max,Waste,Fullness,80%,4/7/2023 9:37,-
1520919,E26  Bechtel West Side,Smart Max,Waste,Fullness,60%,4/7/2023 9:47,-
1515701,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Waste,Not Ready,40%,4/7/2023 9:59,-
1515700,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Waste,Fullness,80%,4/7/2023 10:26,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,80%,4/7/2023 10:31,-
1515704,E05 V&A Cafe/Etcheverry,Smart Max,Waste,Fullness,80%,4/7/2023 10:35,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,60%,4/7/2023 10:43,-
1520916,E30 Soda Hall NW,Smart Max,Waste,Fullness,60%,4/7/2023 10:56,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,60%,4/7/2023 12:02,-
1516557,W15 Koshland,Smart Max,Waste,Fullness,60%,4/7/2023 12:23,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,80%,4/7/2023 12:37,-
1503632,W08 University Drive,Smart Max,Waste,Fullness,80%,4/7/2023 12:45,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,80%,4/7/2023 12:53,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,4/7/2023 12:56,-
1515741,E12 Evans Hall Bus Stop,Smart Max,Waste,Fullness,80%,4/7/2023 13:36,-
1515687,U20 Sproul Hall UCPD,Smart Max,Compostables,Fullness,60%,4/7/2023 14:24,-
2503763,U03 Grade Street,Smart Max,Compostables,Fullness,80%,4/7/2023 14:31,-
1516537,U30 Birge Path,Smart Max,Compostables,Fullness,60%,4/7/2023 14:37,-
1503641,E19 South Path Drive,Smart Max,Compostables,Fullness,80%,4/7/2023 14:43,-
1503651,E14 Physics,Smart Max,Compostables,Fullness,40%,4/7/2023 14:50,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,60%,4/8/2023 7:59,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,100%,4/8/2023 8:02,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,60%,4/8/2023 8:07,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,80%,4/8/2023 8:10,-
1515711,U07 Cal Book Store,Smart Max,Waste,Not Ready,20%,4/8/2023 8:11,-
1515677,U06 Bear's Lair,Smart Max,Waste,Fullness,60%,4/8/2023 8:13,-
1515679,U04 Zellerbach,Smart Max,Waste,Not Ready,20%,4/8/2023 8:16,-
1515678,U20 Sproul Hall UCPD,Smart Max,Waste,Fullness,80%,4/8/2023 8:19,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,60%,4/8/2023 9:17,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,60%,4/8/2023 9:27,-
1503623,E17 Tan/Campbell,Smart Max,Waste,Fullness,60%,4/8/2023 9:30,-
1516553,E27 Coffee Lab,Smart Max,Waste,Fullness,60%,4/8/2023 9:32,-
1514028,E24 Chiet Hall,Smart Max,Waste,Fullness,80%,4/8/2023 9:36,-
1514029,E21 Cafe Think,Smart Max,Waste,Fullness,100%,4/8/2023 9:43,-
1515689,U06 Bear's Lair,Smart Max,Compostables,Fullness,60%,4/8/2023 10:51,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,60%,4/8/2023 11:13,-
1514005,U25 Anthropology and Art Practice (Compost),Smart Max,Compostables,Fullness,80%,4/8/2023 12:13,-
1516545,U32 HFA / Hearst Gym - West Side,Smart Max,Compostables,Fullness,60%,4/8/2023 12:19,-
1515754,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Compostables,Fullness,60%,4/8/2023 12:51,-
1516555,U32 HFA / Hearst Gym - West Side,Smart Max,Waste,Fullness,80%,4/8/2023 13:37,-
1520913,U23 Law Building west of Heyman Terrace,Smart Max,Waste,Fullness,80%,4/8/2023 13:43,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,60%,4/8/2023 13:53,-
1520914,Stadium Gate 3,Smart Max,Waste,Fullness,80%,4/9/2023 7:23,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,4/9/2023 7:34,-
1520907,Stadium Gate 4,Smart Max,Bottles/Cans,Not Ready,0%,4/9/2023 8:48,-
1520911,Stadium Gate 4,Smart Max,Waste,Not Ready,40%,4/9/2023 8:56,-
1520920,Stadium Gate 4,Smart Max,Compostables,Not Ready,0%,4/9/2023 9:00,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Fullness,80%,4/10/2023 5:54,-
1515688,W01 Lower Crescent,Smart Max,Compostables,Fullness,60%,4/10/2023 6:14,-
2503769,U03 Grade Street,Smart Max,Waste,Fullness,60%,4/10/2023 6:21,-
2503761,W06 West Circle,Smart Max,Compostables,Fullness,80%,4/10/2023 6:24,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,4/10/2023 6:31,-
1515787,E01 California Hall,Smart Max,Compostables,Fullness,80%,4/10/2023 6:32,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,4/10/2023 6:35,-
1514001,U16 Durant Hall,Smart Max,Compostables,Fullness,60%,4/10/2023 6:50,-
1515687,U20 Sproul Hall UCPD,Smart Max,Compostables,Not Ready,40%,4/10/2023 6:54,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,4/10/2023 6:57,-
1515714,"U24 Rice & Bones, Wurster",Smart Max,Compostables,Fullness,60%,4/10/2023 7:04,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,4/10/2023 7:06,-
1515744,U13 Bancroft Way,Smart Max,Waste,Not Ready,60%,4/10/2023 7:10,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,4/10/2023 7:12,-
1514007,E21 Cafe Think,Smart Max,Compostables,Fullness,80%,4/10/2023 7:16,-
2503762,E18 Latimer Courtyard,Smart Max,Compostables,Fullness,80%,4/10/2023 7:33,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,60%,4/10/2023 7:35,-
1515691,E25 Cronk Gate,Smart Max,Compostables,Fullness,60%,4/10/2023 7:38,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,100%,4/10/2023 7:41,-
1515669,W03 Li Ka Shing Hall,Smart Max,Waste,Fullness,60%,4/10/2023 7:45,-
1516546,West Circle,Smart Max,Compostables,Fullness,80%,4/10/2023 8:11,-
1516538,U28 Wheeler,Smart Max,Compostables,Fullness,60%,4/10/2023 8:17,-
1515789,E15 Bancroft Library,Smart Max,Compostables,Fullness,80%,4/10/2023 8:22,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,60%,4/10/2023 8:25,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Fullness,80%,4/10/2023 8:31,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Fullness,80%,4/10/2023 8:58,-
1520923,E30 Soda Hall NW,Smart Max,Compostables,Fullness,60%,4/10/2023 9:02,-
1515750,E02 North Entrance Memorial Glade,Smart Max,Compostables,Fullness,60%,4/10/2023 9:09,-
1515716,E16 Campanile,Smart Max,Compostables,Fullness,60%,4/10/2023 9:17,-
1503632,W08 University Drive,Smart Max,Waste,Fullness,60%,4/10/2023 9:41,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,60%,4/10/2023 9:44,-
1503626,W04 Morgan Hall,Smart Max,Waste,Fullness,60%,4/10/2023 9:55,-
1516557,W15 Koshland,Smart Max,Waste,Fullness,60%,4/10/2023 10:18,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,60%,4/10/2023 10:27,-
1515778,U15 Sather Gate,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 10:37,-
1515777,U14 Sproul Hall Steps,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 10:39,-
1515779,U13 Bancroft Way,Smart Max,Bottles/Cans,Fullness,100%,4/10/2023 10:40,-
1515769,U12 Upper MLK Union,Smart Max,Bottles/Cans,Fullness,100%,4/10/2023 10:42,-
1515773,U07 Cal Book Store,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 10:49,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,60%,4/10/2023 10:52,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,60%,4/10/2023 10:58,-
1515728,W01 Lower Crescent,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 10:58,-
2503772,W06 West Circle,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 11:06,-
1514016,W05 Brown’s Cafe,Smart Max,Bottles/Cans,Fullness,100%,4/10/2023 11:28,-
1514013,W11 Moffitt Library @ Press,Smart Max,Bottles/Cans,Fullness,100%,4/10/2023 11:36,-
1515763,E01 California Hall,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 11:42,-
1514014,U16 Durant Hall,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 12:35,-
1515726,E15 Bancroft Library,Smart Max,Bottles/Cans,Fullness,80%,4/10/2023 12:39,-
1515760,E23 Glade Path,Smart Max,Bottles/Cans,Fullness,100%,4/10/2023 12:44,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,4/10/2023 13:20,-
1515695,E15 Bancroft Library,Smart Max,Waste,Fullness,60%,4/10/2023 13:30,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,100%,4/10/2023 13:34,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,60%,4/10/2023 13:53,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,100%,4/10/2023 14:01,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,100%,4/10/2023 14:04,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Fullness,60%,4/11/2023 6:33,-
1515745,W12 VLSB/Campanile Way,Smart Max,Waste,Fullness,60%,4/11/2023 6:35,-
1515681,U02 Spieker Plaza Center,Smart Max,Waste,Fullness,60%,4/11/2023 6:44,-
1520920,Stadium Gate 4,Smart Max,Compostables,Not Ready,20%,4/11/2023 6:49,-
1520907,Stadium Gate 4,Smart Max,Bottles/Cans,Not Ready,0%,4/11/2023 6:50,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,80%,4/11/2023 6:50,-
1520925,Stadium Gate 3,Smart Max,Compostables,Not Ready,40%,4/11/2023 6:53,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,4/11/2023 6:53,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,60%,4/11/2023 6:55,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,80%,4/11/2023 6:56,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,60%,4/11/2023 6:58,-
1514009,E24 Chiet Hall,Smart Max,Compostables,Fullness,60%,4/11/2023 7:08,-
1514007,E21 Cafe Think,Smart Max,Compostables,Not Ready,0%,4/11/2023 7:12,-
1515679,U04 Zellerbach,Smart Max,Waste,Not Ready,40%,4/11/2023 7:14,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Not Ready,0%,4/11/2023 7:21,-
1515677,U06 Bear's Lair,Smart Max,Waste,Not Ready,40%,4/11/2023 7:22,-
1516539,W15 Koshland,Smart Max,Compostables,Fullness,80%,4/11/2023 7:37,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,60%,4/11/2023 7:40,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,4/11/2023 7:41,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,4/11/2023 7:45,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,60%,4/11/2023 7:49,-
1514008,001 Berkeley Way (Offsite),Smart Max,Compostables,Fullness,60%,4/11/2023 7:53,-
1503614,W08 University Drive,Smart Max,Compostables,Fullness,80%,4/11/2023 7:59,-
1515756,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Compostables,Fullness,60%,4/11/2023 8:19,-
1515712,E09- East Asian Library,Smart Max,Compostables,Not Ready,20%,4/11/2023 8:20,-
1503644,E17 Tan/Campbell,Smart Max,Compostables,Fullness,40%,4/11/2023 8:26,-
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,4/11/2023 8:27,-
1503636,E28 Library/Campanile Way,Smart Max,Compostables,Fullness,60%,4/11/2023 8:29,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,60%,4/11/2023 8:32,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,80%,4/11/2023 8:34,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,60%,4/11/2023 8:42,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,80%,4/11/2023 8:45,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,4/11/2023 8:48,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,80%,4/11/2023 9:00,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,80%,4/11/2023 9:02,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,80%,4/11/2023 9:05,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,4/11/2023 9:08,-
1515671,"U24 Rice & Bones, Wurster",Smart Max,Waste,Fullness,80%,4/11/2023 9:09,-
1515765,E02 North Entrance Memorial Glade,Smart Max,Bottles/Cans,Fullness,80%,4/11/2023 9:11,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,80%,4/11/2023 9:12,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,4/11/2023 9:15,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,80%,4/11/2023 9:17,-
1515785,U02 Spieker Plaza Center,Smart Max,Compostables,Fullness,60%,4/11/2023 9:22,-
1516544,U33 Spieker Plaza,Smart Max,Compostables,Fullness,60%,4/11/2023 9:25,-
1516551,U30 Birge Path,Smart Max,Waste,Fullness,60%,4/11/2023 9:29,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Fullness,80%,4/11/2023 9:39,-
2503766,U21 Social Sciences Building,Smart Max,Waste,Fullness,80%,4/11/2023 10:03,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,80%,4/11/2023 10:14,-
2503767,U26 A&E Sproul,Smart Max,Waste,Fullness,60%,4/11/2023 10:18,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Not Ready,20%,4/11/2023 10:46,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,100%,4/11/2023 10:48,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,4/11/2023 10:50,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,80%,4/11/2023 10:52,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,80%,4/11/2023 11:00,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Fullness,60%,4/11/2023 11:22,-
1515703,E09- East Asian Library,Smart Max,Waste,Fullness,60%,4/11/2023 13:41,-
1515700,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Waste,Fullness,80%,4/11/2023 13:51,-
1515701,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Waste,Not Ready,40%,4/11/2023 13:54,-
1520919,E26  Bechtel West Side,Smart Max,Waste,Fullness,80%,4/11/2023 13:59,-
1520917,E30 Tan Hall North Side,Smart Max,Waste,Fullness,60%,4/11/2023 14:07,-
2503765,E18 Latimer Courtyard,Smart Max,Waste,Fullness,80%,4/11/2023 14:10,-
