Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"U18 Dwinelle Walkway","1515667","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87094332965619","-122.25973751395942","LE910","Manual Lock"
"U18 Dwinelle Walkway","1515718","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87094438831807","-122.25973751395942","ME910","Manual Lock"
"U19 Wheeler Walkway","1515784","Compostables","SM5","Smart Max","In Service","60%","7 days","5 hours ago","37.87086234197826","-122.25920140743257","LE910","Manual Lock"
"U19 Wheeler Walkway","1515702","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.870857048662884","-122.25919738411905","LE910","Manual Lock"
"U19 Wheeler Walkway","1515734","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.870857048662884","-122.25920140743257","LE910","Manual Lock"
"U20 Sproul Hall UCPD","1515735","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86912002668212","-122.25864015519618","LE910","Manual Lock"
"U20 Sproul Hall UCPD","1515678","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86911896799404","-122.25863479077816","LE910","Manual Lock"
"U20 Sproul Hall UCPD","1515687","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86911843865","-122.25864082574844","LE910","Manual Lock"
"U21 Social Sciences Building","2503764","Compostables","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.869902393014556","-122.2576018050313","LE910","Manual Lock"
"U21 Social Sciences Building","2503766","Waste","SM5","Smart Max","In Service","60%","7 days","5 hours ago","37.8699010696685","-122.25759979337454","LE910","Manual Lock"
"U21 Social Sciences Building","2503771","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86990212834536","-122.2576018050313","LE910","Manual Lock"
"U23 Law Building west of Heyman Terrace","1520909","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86981161142029","-122.25438751280306","LE910","Manual Lock"
"U23 Law Building west of Heyman Terrace","1520913","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86981161142029","-122.25438751280306","LE910","Manual Lock"
"U23 Law Building west of Heyman Terrace","1520928","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86981161142029","-122.25438751280306","LE910","Manual Lock"
"U24 Rice & Bones, Wurster","1515720","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.870610644410945","-122.25506309419872","LE910","Manual Lock"
"U24 Rice & Bones, Wurster","1515671","Waste","SM5","Smart Max","In Service","60%","7 days","34 minutes ago","37.870607997744244","-122.25506845861675","LE910","Manual Lock"
"U24 Rice & Bones, Wurster","1515714","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.870610644410945","-122.25507047027351","LE910","Manual Lock"
"U25 Anthropology and Art Practice (B/C)","1514019","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.869563730659145","-122.25498922944774","LE910","Manual Lock"
"U25 Anthropology and Art Practice (Compost)","1514005","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86955684922778","-122.25498721779098","LE910","Manual Lock"
"U25 Anthropology and Art Practice (Landfill)","1514023","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.86956426","-122.2549899","LE910","Manual Lock"
"U26 A&E Sproul","2503760","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.870084749873186","-122.25899823009968","LE910","Manual Lock"
"U26 A&E Sproul","2503767","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87007575114183","-122.2589921951294","LE910","Manual Lock"
"U26 A&E Sproul","2503770","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87007575114183","-122.25899487733841","LE910","Manual Lock"
"U27 Anthony Hall","1515717","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87050663033866","-122.25839942693712","LE910","Manual Lock"
"U27 Anthony Hall","1515725","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87054315438076","-122.258243188262","LE910","Manual Lock"
"U27 Anthony Hall","1515675","Waste","SM5","Smart Max","In Service","60%","7 days","14 minutes ago","37.87053786104246","-122.258243188262","LE910","Manual Lock"
"U28 Wheeler","1516527","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.870953485994214","-122.25875003157763","LE910","Manual Lock"
"U28 Wheeler","1516538","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87093601807361","-122.2588881653419","LE910","Manual Lock"
"U28 Wheeler","1516556","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87093601807361","-122.2588881653419","LE910","Manual Lock"
"U30 Birge Path","1516551","Waste","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87041373214996","-122.25546676665545","ME910","Manual Lock"
"U30 Birge Path","1516524","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.870414790819446","-122.25543592125177","LE910","Manual Lock"
"U30 Birge Path","1516537","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.870410556141444","-122.2554674372077","LE910","Manual Lock"
"U32 HFA / Hearst Gym - West Side","1516555","Waste","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.869442131824364","-122.25749183446169","LE910","Manual Lock"
"U32 HFA / Hearst Gym - West Side","1516534","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86944160248264","-122.2574931755662","LE910","Manual Lock"
"U32 HFA / Hearst Gym - West Side","1516545","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86943683840693","-122.25748982280493","LE910","Manual Lock"
"U33 Spieker Plaza","1516550","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86893449136369","-122.26162176579238","LE910","Manual Lock"
"U33 Spieker Plaza","1516530","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.868930785946006","-122.26162377744915","ME910","Manual Lock"
"U33 Spieker Plaza","1516544","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.868934226691","-122.26161874830724","LE910","Manual Lock"
"UC Botanical Gardens","1520904","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.87495480284841","-122.2380525913135","LE910","Manual Lock"
"UC Botanical Gardens","1520918","Waste","SM5","Smart Max","In Service","60%","7 days","a day ago","37.87495480284841","-122.2380525913135","LE910","Manual Lock"
"UC Botanical Gardens","1520926","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87495480284841","-122.2380525913135","LE910","Manual Lock"
"W01 Lower Crescent","1515728","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","5 hours ago","37.87060588041083","-122.26555924862622","LE910","Manual Lock"
"W01 Lower Crescent","1515670","Waste","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87060561574415","-122.2655575722456","LE910","Manual Lock"
"W01 Lower Crescent","1515688","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.8706050864108","-122.26556092500687","LE910","Manual Lock"
"W02 Crescent","1515674","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87181499856153","-122.2651921789594","LE910","Manual Lock"
"W02 Crescent","1515690","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87181499856153","-122.2651921789594","LE910","Manual Lock"
"W02 Crescent","1515731","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 minutes ago","37.87181499856153","-122.2651921789594","LE910","Manual Lock"
"W03 Li Ka Shing Hall","1515737","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.872854189559554","-122.26504929363728","LE910","Manual Lock"
"W03 Li Ka Shing Hall","1515669","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87284783775278","-122.26504795253277","LE910","Manual Lock"
"W03 Li Ka Shing Hall","1515719","Compostables","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.872846779118284","-122.26504929363728","LE910","Manual Lock"
"W04 Morgan Hall","1503640","Bottles/Cans","SM5","Smart Max","Damaged","60%","7 days","6 months ago","37.87322179944369","-122.26393081247807","LE910","Manual Lock"
"W04 Morgan Hall","1503626","Waste","SM5","Smart Max","In Storage","60%","7 days","21 days ago","37.87321544766862","-122.26392813026905","LE910","Manual Lock"
"W04 Morgan Hall","1503649","Compostables","SM5","Smart Max","In Storage","60%","7 days","21 days ago","37.87321438903939","-122.26393081247807","LE910","Manual Lock"
"W05 Brown’s Cafe","1514010","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87322845639064","-122.2649330556343","LE910","Manual Lock"
"W05 Brown’s Cafe","1514016","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87322845639064","-122.2649330556343","LE910","Manual Lock"
"W05 Brown’s Cafe","1514032","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87322845639064","-122.2649330556343","LE910","Manual Lock"
"W06 West Circle","2503761","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.872077412461074","-122.2633246332407","LE910","Manual Lock"
"W06 West Circle","2503768","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87207106058734","-122.26332597434521","LE910","Manual Lock"
"W06 West Circle","2503772","Bottles/Cans","SM5","Smart Max","In Storage","60%","7 days","8 months ago","37.87207635381549","-122.2633246332407","LE910","Manual Lock"
"W08 University Drive","1503638","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","13 minutes ago","37.87277664454769","-122.26242475211619","LE910","Manual Lock"
"W08 University Drive","1503632","Waste","SM5","Smart Max","In Service","60%","7 days","41 minutes ago","37.87277399795881","-122.26242408156395","LE910","Manual Lock"
"W08 University Drive","1503614","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.872760765013","-122.26242743432522","LE910","Manual Lock"
"W11 Moffitt Library @ Press","1514026","Waste","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87282512342449","-122.2601156195547","LE910","Manual Lock"
"W11 Moffitt Library @ Press","1514003","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87282221217865","-122.26011595483082","LE910","Manual Lock"
"W11 Moffitt Library @ Press","1514013","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","5 hours ago","37.87282168286119","-122.26011528427857","LE910","Manual Lock"
"W12 VLSB/Campanile Way","1515757","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87116300166771","-122.2619255259633","LE910","Manual Lock"
"W12 VLSB/Campanile Way","1515736","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.871160884350246","-122.2619416192174","LE910","Manual Lock"
"W12 VLSB/Campanile Way","1515745","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87114606312629","-122.26191613823175","LE910","Manual Lock"
"W13 Recreational Sport Facility (B/C)","1514017","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86852498542332","-122.2623646539843","LE910","Manual Lock"
"W13 Recreational Sport Facility (Compost)","1514002","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.86852774909471","-122.2623747611919","LE910","Manual Lock"
"W13 Recreational Sport Facility (LF)","1514031","Waste","SM5","Smart Max","In Service","60%","Disabled","10 hours ago","37.8685232992564","-122.2623679692983","ME910","Manual Lock"
"W15 Koshland","1516557","Waste","SM5","Smart Max","In Service","60%","7 days","43 minutes ago","37.87354759183949","-122.26513914763927","LE910","Manual Lock"
"W15 Koshland","1516533","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87354759183949","-122.26514250040054","LE910","Manual Lock"
"W15 Koshland","1516539","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87354494527831","-122.26514250040054","LE910","Manual Lock"
"W16 VLSB Northside","1516532","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87215525333147","-122.261952075138","LE910","Manual Lock"
"W16 VLSB Northside","1516543","Compostables","SM5","Smart Max","In Service","60%","Disabled","2 hours ago","37.87215525333147","-122.261952075138","LE910","Manual Lock"
"W16 VLSB Northside","1516554","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87215525333147","-122.261952075138","LE910","Manual Lock"
"W17 Mulford Hall","1516549","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.872947878645896","-122.26444412022829","LE910","Manual Lock"
"W17 Mulford Hall","1516531","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87294470274661","-122.26444412022829","LE910","Manual Lock"
"W17 Mulford Hall","1516548","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.872933057781424","-122.26444412022829","LE910","Manual Lock"
"W18 Campanile Way West Entrance","2502339","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.870773149563284","-122.26323310285807","LE910","Manual Lock"
"W18 Campanile Way West Entrance","1503633","Waste","SM5","Smart Max","In Service","60%","7 days","11 minutes ago","37.870773149563284","-122.26323243230581","LE910","Manual Lock"
"W18 Campanile Way West Entrance","1503616","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.870764680248236","-122.26323042064905","LE910","Manual Lock"
"West Circle","1516535","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86953953098306","-122.2562231497115","LE910","Manual Lock"
"West Circle","1516546","Compostables","SM5","Smart Max","In Storage","60%","7 days","8 months ago","37.86953953098306","-122.2562231497115","LE910","Manual Lock"
"West Circle","1516552","Waste","SM5","Smart Max","In Storage","60%","7 days","8 months ago","37.86953953098306","-122.2562231497115","LE910","Manual Lock"
