Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"E09- East Asian Library","1515703","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87354748857848","-122.2599943191132","LE910","Manual Lock"
"E09- East Asian Library","1515712","Compostables","SM5","Smart Max","In Service","60%","7 days","24 minutes ago","37.87354748857848","-122.2599943191132","LE910","Manual Lock"
"E09- East Asian Library","1515762","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","a month ago","37.87354748857848","-122.2599943191132","LE910","Manual Lock"
"E11 Hearst Mining Main Entrance","1515768","Bottles/Cans","SM5","Smart Max","In Storage","60%","Disabled","4 years ago","37.87408695902378","-122.25713208317757","LE910","Manual Lock"
"E11 Hearst Mining Main Entrance","1515698","Waste","SM5","Smart Max","Damaged","60%","7 days","5 years ago","37.87408484179036","-122.2571374475956","LE910","Manual Lock"
"E11 Hearst Mining Main Entrance","1515713","Compostables","SM5","Smart Max","In Storage","60%","7 days","5 years ago","37.87409119349047","-122.25709453225136","LE910","Manual Lock"
"E12 Evans Hall Bus Stop","1515771","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","6 hours ago","37.87342346801782","-122.25738387554884","LE910","Manual Lock"
"E12 Evans Hall Bus Stop","1515741","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.873422674048136","-122.25738823413849","LE910","Manual Lock"
"E12 Evans Hall Bus Stop","1515748","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.8734237326744","-122.25738152861595","LE910","Manual Lock"
"E13 Stanley Hall","1515723","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","9 hours ago","37.87386120866613","-122.25652791559698","LE910","Manual Lock"
"E13 Stanley Hall","1515684","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.873850622465895","-122.25652791559698","LE910","Manual Lock"
"E13 Stanley Hall","1515697","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87385168108601","-122.25652657449247","LE910","Manual Lock"
"E14 Physics","1503642","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","7 hours ago","37.87269909945424","-122.25787103176118","LE910","Manual Lock"
"E14 Physics","1503625","Waste","SM5","Smart Max","In Service","60%","7 days","39 minutes ago","37.87269698218092","-122.25787036120893","LE910","Manual Lock"
"E14 Physics","1503651","Compostables","SM5","Smart Max","In Service","60%","7 days","5 hours ago","37.87269698218092","-122.25786969065668","LE910","Manual Lock"
"E15 Bancroft Library","1515789","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87239288816814","-122.25858047604562","LE910","Manual Lock"
"E15 Bancroft Library","1515695","Waste","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87238918292438","-122.25858047604562","LE910","Manual Lock"
"E15 Bancroft Library","1515726","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","2 hours ago","37.87239130020655","-122.25857980549337","LE910","Manual Lock"
"E16 Campanile","1515727","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","11 hours ago","37.87225447072137","-122.25782409310341","LE910","Manual Lock"
"E16 Campanile","1515716","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87225129479221","-122.25782409310341","LE910","Manual Lock"
