Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,threshold_violation_gal
1515788,Compostables,6,93.82,62.55,0,0.0,93.82,0,3.82
1520912,Compostables,0,60.55,40.37,1,60.55,0.0,0,0.0
1520912,Compostables,1,7.57,5.05,0,0.0,7.57,0,0.0
1520912,Compostables,2,15.14,10.09,0,0.0,15.14,0,0.0
1520912,Compostables,3,22.71,15.14,0,0.0,22.71,0,0.0
1520912,Compostables,4,30.28,20.18,0,0.0,30.28,0,0.0
1520912,Compostables,5,37.84,25.23,0,0.0,37.84,0,0.0
1520912,Compostables,6,45.41,30.28,0,0.0,45.41,0,0.0
1520927,Bottles/Cans,0,0.0,0.0,1,0.0,0.0,0,0.0
1520927,Bottles/Cans,1,0.0,0.0,0,0.0,0.0,0,0.0
1520927,Bottles/Cans,2,0.0,0.0,0,0.0,0.0,0,0.0
1520927,Bottles/Cans,3,0.0,0.0,0,0.0,0.0,0,0.0
1520927,Bottles/Cans,4,0.0,0.0,0,0.0,0.0,0,0.0
1520927,Bottles/Cans,5,0.0,0.0,0,0.0,0.0,0,0.0
1520927,Bottles/Cans,6,0.0,0.0,0,0.0,0.0,0,0.0
1503614,Compostables,0,165.31,110.21,1,165.31,0.0,1,75.31
1503614,Compostables,1,23.62,15.74,0,0.0,23.62,0,0.0
1503614,Compostables,2,47.23,31.49,0,0.0,47.23,0,0.0
1503614,Compostables,3,70.85,47.23,1,70.85,0.0,0,0.0
1503614,Compostables,4,23.62,15.74,0,0.0,23.62,0,0.0
1503614,Compostables,5,47.23,31.49,0,0.0,47.23,0,0.0
1503614,Compostables,6,70.85,47.23,0,0.0,70.85,0,0.0
1503642,Bottles/Cans,0,52.54,35.03,1,52.54,0.0,0,0.0
1503642,Bottles/Cans,1,7.51,5.0,0,0.0,7.51,0,0.0
1503642,Bottles/Cans,2,15.01,10.01,0,0.0,15.01,0,0.0
1503642,Bottles/Cans,3,22.52,15.01,0,0.0,22.52,0,0.0
1503642,Bottles/Cans,4,30.02,20.02,0,0.0,30.02,0,0.0
1503642,Bottles/Cans,5,37.53,25.02,0,0.0,37.53,0,0.0
1503642,Bottles/Cans,6,45.03,30.02,0,0.0,45.03,0,0.0
1503647,Bottles/Cans,0,0.0,0.0,1,0.0,0.0,0,0.0
1503647,Bottles/Cans,1,0.0,0.0,0,0.0,0.0,0,0.0
1503647,Bottles/Cans,2,0.0,0.0,0,0.0,0.0,0,0.0
1503647,Bottles/Cans,3,0.0,0.0,0,0.0,0.0,0,0.0
1503647,Bottles/Cans,4,0.0,0.0,0,0.0,0.0,0,0.0
1503647,Bottles/Cans,5,0.0,0.0,0,0.0,0.0,0,0.0
1503647,Bottles/Cans,6,0.0,0.0,0,0.0,0.0,0,0.0
1503651,Compostables,0,84.85,56.57,1,84.85,0.0,0,0.0
1503651,Compostables,1,12.12,8.08,0,0.0,12.12,0,0.0
1503651,Compostables,2,24.24,16.16,0,0.0,24.24,0,0.0
1503651,Compostables,3,36.36,24.24,0,0.0,36.36,0,0.0
1503651,Compostables,4,48.48,32.32,0,0.0,48.48,0,0.0
1503651,Compostables,5,60.61,40.4,0,0.0,60.61,0,0.0
1503651,Compostables,6,72.73,48.48,0,0.0,72.73,0,0.0
1514004,Compostables,0,76.49,50.99,1,76.49,0.0,0,0.0
1514004,Compostables,1,10.93,7.28,0,0.0,10.93,0,0.0
1514004,Compostables,2,21.85,14.57,0,0.0,21.85,0,0.0
1514004,Compostables,3,32.78,21.85,0,0.0,32.78,0,0.0
1514004,Compostables,4,43.71,29.14,0,0.0,43.71,0,0.0
1514004,Compostables,5,54.64,36.42,0,0.0,54.64,0,0.0
1514004,Compostables,6,65.56,43.71,0,0.0,65.56,0,0.0
1515716,Compostables,0,102.08,68.05,1,102.08,0.0,0,12.08
1515716,Compostables,1,14.58,9.72,0,0.0,14.58,0,0.0
1515716,Compostables,2,29.17,19.44,0,0.0,29.17,0,0.0
1515716,Compostables,3,43.75,29.17,0,0.0,43.75,0,0.0
1515716,Compostables,4,58.33,38.89,0,0.0,58.33,0,0.0
1515716,Compostables,5,72.92,48.61,0,0.0,72.92,0,0.0
1515716,Compostables,6,87.5,58.33,0,0.0,87.5,0,0.0
1515722,Bottles/Cans,0,106.39,70.93,1,106.39,0.0,0,0.0
1515722,Bottles/Cans,1,15.2,10.13,0,0.0,15.2,0,0.0
1515722,Bottles/Cans,2,30.4,20.27,0,0.0,30.4,0,0.0
1515722,Bottles/Cans,3,45.6,30.4,0,0.0,45.6,0,0.0
1515722,Bottles/Cans,4,60.8,40.53,0,0.0,60.8,0,0.0
1515722,Bottles/Cans,5,76.0,50.66,0,0.0,76.0,0,0.0
1515722,Bottles/Cans,6,91.2,60.8,0,0.0,91.2,0,0.0
1515738,Bottles/Cans,0,25.2,16.8,1,25.2,0.0,0,0.0
1515738,Bottles/Cans,1,3.6,2.4,0,0.0,3.6,0,0.0
1515738,Bottles/Cans,2,7.2,4.8,0,0.0,7.2,0,0.0
1515738,Bottles/Cans,3,10.8,7.2,0,0.0,10.8,0,0.0
1515738,Bottles/Cans,4,14.4,9.6,0,0.0,14.4,0,0.0
1515738,Bottles/Cans,5,18.0,12.0,0,0.0,18.0,0,0.0
1515738,Bottles/Cans,6,21.6,14.4,0,0.0,21.6,0,0.0
1515750,Compostables,0,162.01,108.0,1,162.01,0.0,1,72.01
1515750,Compostables,1,23.14,15.43,0,0.0,23.14,0,0.0
1515750,Compostables,2,46.29,30.86,1,46.29,0.0,0,0.0
1515750,Compostables,3,23.14,15.43,0,0.0,23.14,0,0.0
1515750,Compostables,4,46.29,30.86,0,0.0,46.29,0,0.0
1515750,Compostables,5,69.43,46.29,0,0.0,69.43,0,0.0
1515750,Compostables,6,92.58,61.72,0,0.0,92.58,0,2.58
1516530,Bottles/Cans,0,77.71,51.81,1,77.71,0.0,0,0.0
1516530,Bottles/Cans,1,11.1,7.4,0,0.0,11.1,0,0.0
1516530,Bottles/Cans,2,22.2,14.8,0,0.0,22.2,0,0.0
