Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1515692,Waste,1,T3,93.41,62.27,93.41,93.41,6.0
1515694,Waste,1,T3,59.48,39.66,59.48,59.48,
1515696,Waste,1,T3,60.88,40.58,60.88,60.88,6.0
1515700,Waste,1,T3,71.59,47.73,71.59,71.59,5.0
1515712,Compostables,1,T1,26.67,17.78,26.67,32.0,1.0
1515714,Compostables,1,T1,69.28,46.19,69.28,83.14,5.0
1515718,Compostables,1,T1,60.49,40.33,60.49,72.59,6.0
1515727,Bottles/Cans,1,T2,77.77,51.84,77.77,23.33,1.0
1515729,Bottles/Cans,1,T2,58.75,39.17,58.75,17.62,1.0
1515731,Bottles/Cans,1,T2,77.14,51.42,77.14,23.14,1.0
1515734,Bottles/Cans,1,T2,89.08,59.39,89.08,26.73,1.0
1515740,Bottles/Cans,1,T2,54.64,36.43,54.64,16.39,1.0
1515744,Waste,1,T3,99.36,66.24,99.36,99.36,6.0
1515747,Waste,1,T3,58.5,39.0,58.5,58.5,6.0
1515748,Compostables,1,T1,39.1,26.07,39.1,46.92,1.0
1515749,Compostables,1,T1,52.73,35.15,52.73,63.28,
1515753,Compostables,1,T1,59.71,39.81,59.71,71.65,
1515755,Compostables,1,T1,93.46,62.3,93.46,112.15,6.0
1515757,Compostables,1,T1,52.28,34.86,52.28,62.74,1.0
1515759,Compostables,1,T1,59.62,39.74,59.62,71.54,6.0
1515760,Bottles/Cans,1,T2,102.12,68.08,102.12,30.63,1.0
1515764,Bottles/Cans,1,T2,13.94,9.3,13.94,4.18,1.0
1515771,Bottles/Cans,1,T2,21.14,14.09,21.14,6.34,1.0
1515775,Bottles/Cans,1,T2,135.38,90.26,135.38,40.61,1.0
1515785,Compostables,1,T1,59.65,39.77,59.65,71.59,2.0
1515786,Compostables,1,T1,69.92,46.61,69.92,83.91,6.0
1515787,Compostables,1,T1,69.73,46.49,69.73,83.68,1.0
1515791,Compostables,1,T1,89.3,59.53,89.3,107.16,6.0
1516524,Bottles/Cans,1,T2,52.24,34.82,52.24,15.67,1.0
1516531,Bottles/Cans,1,T2,46.99,31.32,46.99,14.1,4.0
1516532,Bottles/Cans,1,T2,93.6,62.4,93.6,28.08,1.0
1516533,Bottles/Cans,1,T2,30.9,20.6,30.9,9.27,1.0
1516535,Bottles/Cans,1,T2,82.34,54.89,82.34,24.7,1.0
1516543,Compostables,1,T1,91.16,60.77,91.16,109.39,1.0
1516554,Waste,1,T3,27.28,18.19,27.28,27.28,1.0
1520909,Bottles/Cans,1,T2,57.65,38.43,57.65,17.29,1.0
