day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min
0,Waste,T3,VRP,7,4,1514026,1514026,W11 Moffitt Library @ Press,0,188,188,4
0,Waste,T3,VRP,8,21,1516554,1516554,W16 VLSB Northside,0,164,164,4
0,Waste,T3,VRP,9,18,1515743,1515743,E02 North Entrance Memorial Glade,0,188,188,4
0,Waste,T3,VRP,10,3,1514024,1514024,Bechtel West,0,56,56,4
0,Waste,T3,VRP,11,15,1515704,1515704,E05 V&A Cafe/Etcheverry,0,74,74,4
0,Waste,T3,VRP,12,14,1515701,1515701,E07 Sutardja Dai Hall/Yali's 2,0,26,26,4
0,Waste,T3,VRP,13,9,1515673,1515673,E04 North Gate Entrance,0,85,85,4
0,Waste,T3,VRP,14,17,1515742,1515742,E03 University Library,0,182,182,4
0,Waste,T3,VRP,15,5,1514027,1514027,Bechtel East,0,105,105,4
0,Waste,T3,VRP,16,22,1516556,1516556,U28 Wheeler,0,81,81,4
0,Waste,T3,VRP,17,1,1503621,1503621,E19 South Path Drive,0,79,79,4
0,Waste,T3,VRP,18,23,1520913,1520913,U23 Law Building west of Heyman Terrace,0,46,46,4
0,Waste,T3,VRP,19,7,1515668,1515668,E25 Cronk Gate,0,88,88,4
0,Waste,T3,VRP,20,2,1514023,1514023,U25 Anthropology and Art Practice (Landfill),0,62,62,4
0,Waste,T3,VRP,21,11,1515680,1515680,U10 GoldenBear Walkway,0,55,55,4
0,Waste,T3,VRP,22,25,2503767,2503767,U26 A&E Sproul,0,58,58,4
0,Waste,T3,VRP,23,12,1515692,1515692,U15 Sather Gate,0,47,47,4
0,Waste,T3,VRP,24,24,1520915,1520915,Hearst Gym Annex,0,146,146,4
0,Waste,T3,VRP,25,13,1515696,1515696,U08 MLK Courtyard,0,61,61,4
0,Waste,T3,VRP,26,16,1515711,1515711,U07 Cal Book Store,0,58,58,4
0,Waste,T3,VRP,27,6,1514031,1514031,W13 Recreational Sport Facility (LF),0,91,91,4
0,Waste,T3,VRP,28,0,,,DEPOT,1,0,0,0
