Serial,comparison_status,original_stream,original_truck,original_pickup_gal,original_pickup_lb,original_inventory_pct,rolling_stream,rolling_truck,rolling_pickup_gal,rolling_pickup_lb,rolling_inventory_pct
1503621,added_in_rolling_day2,,,,,,Waste,T2,40.63,40.63,63.54
1503628,added_in_rolling_day2,,,,,,Waste,T3,5.0,5.0,33.24
1514005,added_in_rolling_day2,,,,,,Compostables,T1,36.47,43.77,41.44
1514024,added_in_rolling_day2,,,,,,Waste,T2,18.64,18.64,56.21
1514031,added_in_rolling_day2,,,,,,Waste,T3,45.75,45.75,80.5
1515668,added_in_rolling_day2,,,,,,Waste,T3,41.23,41.23,68.65
1515671,added_in_rolling_day2,,,,,,Waste,T2,30.65,30.65,59.52
1515680,added_in_rolling_day2,,,,,,Waste,T2,35.28,35.28,73.52
1515704,added_in_rolling_day2,,,,,,Waste,T2,96.29,96.29,65.68
1515710,added_in_rolling_day2,,,,,,Waste,T2,48.57,48.57,44.13
1515714,added_in_rolling_day2,,,,,,Compostables,T1,57.84,69.41,46.19
1515715,added_in_rolling_day2,,,,,,Compostables,T1,69.14,82.97,58.44
1515718,added_in_rolling_day2,,,,,,Compostables,T1,44.93,53.92,40.33
1515745,added_in_rolling_day2,,,,,,Waste,T2,17.06,17.06,59.97
1516548,added_in_rolling_day2,,,,,,Waste,T3,44.21,44.21,43.16
1516555,added_in_rolling_day2,,,,,,Waste,T3,14.82,14.82,36.63
1516556,added_in_rolling_day2,,,,,,Waste,T2,26.16,26.16,63.24
