day,stream,scheduled_bins,scheduled_stops,routed_stops,dropped_stops,active_trucks,selected_mode,total_pickup_gal,total_pickup_lb,total_service_min_only,total_effective_volume_cap,total_effective_mass_cap
0,Bottles/Cans,14,14,14,0,1,SingleTruckRoute,407,123,56,450,1300
0,Compostables,10,10,10,0,1,SingleTruckRoute,500,601,40,500,1300
0,Waste,17,17,17,0,2,VRP,996,996,68,1000,2600
