from_node,to_node,from_label,to_label,distance_m,travel_min,travel_min_raw
1,36,W08 University Drive,U28 Wheeler,634.88,5.39,3.94
1,37,W08 University Drive,E30 Tan Hall North Side,613.86,5.22,3.81
1,38,W08 University Drive,Hearst Gym Annex,1456.76,12.39,9.05
1,39,W08 University Drive,U03 Grade Street,1008.12,8.57,6.26
1,40,W08 University Drive,U26 A&E Sproul,1823.35,15.51,11.33
1,41,W08 University Drive,W06 West Circle,115.78,0.99,0.72
2,0,E19 South Path Drive,DEPOT,242.5,2.07,1.51
2,1,E19 South Path Drive,W08 University Drive,709.32,6.04,4.41
2,2,E19 South Path Drive,E19 South Path Drive,0.0,0.0,0.0
2,3,E19 South Path Drive,W18 Campanile Way West Entrance,1423.37,12.1,8.84
2,4,E19 South Path Drive,E14 Physics,243.43,2.07,1.51
2,5,E19 South Path Drive,E14 Physics,243.43,2.07,1.51
2,6,E19 South Path Drive,U16 Durant Hall,1666.79,14.18,10.36
2,7,E19 South Path Drive,W11 Moffitt Library @ Press,529.48,4.5,3.29
2,8,E19 South Path Drive,Bechtel East,229.87,1.96,1.43
2,9,E19 South Path Drive,001 Berkeley Way (Offsite),1301.32,11.07,8.09
2,10,E19 South Path Drive,W11 Moffitt Library @ Press,529.48,4.5,3.29
2,11,E19 South Path Drive,Bechtel East,229.87,1.96,1.43
2,12,E19 South Path Drive,W13 Recreational Sport Facility (LF),1511.99,12.87,9.4
2,13,E19 South Path Drive,E25 Cronk Gate,373.39,3.18,2.32
2,14,E19 South Path Drive,W02 Crescent,980.34,8.34,6.09
2,15,E19 South Path Drive,E06 Sutardja Dali Hall/Yali's 1,646.5,5.5,4.02
2,16,E19 South Path Drive,E29 Campanile East,242.5,2.07,1.51
2,17,E19 South Path Drive,E16 Campanile,117.98,1.0,0.73
2,18,E19 South Path Drive,U09 MLK Ramp,1442.63,12.27,8.96
2,19,E19 South Path Drive,E13 Stanley Hall,219.64,1.86,1.36
2,20,E19 South Path Drive,U27 Anthony Hall,1394.85,11.87,8.67
2,21,E19 South Path Drive,E15 Bancroft Library,293.87,2.51,1.83
2,22,E19 South Path Drive,U05 Cesar Chavez,1717.44,14.61,10.67
2,23,E19 South Path Drive,U17 Dwinelle Plaza Entry,1695.59,14.43,10.54
2,24,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,25,E19 South Path Drive,W12 VLSB/Campanile Way,1600.76,13.62,9.95
2,26,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,27,E19 South Path Drive,E05 V&A Cafe/Etcheverry,711.22,6.05,4.42
2,28,E19 South Path Drive,E02 North Entrance Memorial Glade,429.59,3.66,2.67
2,29,E19 South Path Drive,E07 Sutardja Dai Hall/Yali's 2,646.5,5.5,4.02
2,30,E19 South Path Drive,U07 Cal Book Store,1324.83,11.27,8.23
2,31,E19 South Path Drive,E06 Sutardja Dali Hall/Yali's 1,646.5,5.5,4.02
2,32,E19 South Path Drive,E03 University Library,293.87,2.51,1.83
2,33,E19 South Path Drive,U33 Spieker Plaza,1439.01,12.24,8.94
2,34,E19 South Path Drive,W17 Mulford Hall,955.86,8.13,5.94
2,35,E19 South Path Drive,W16 VLSB Northside,635.26,5.41,3.95
2,36,E19 South Path Drive,U28 Wheeler,227.49,1.93,1.41
2,37,E19 South Path Drive,E30 Tan Hall North Side,149.39,1.27,0.93
2,38,E19 South Path Drive,Hearst Gym Annex,1117.47,9.5,6.94
2,39,E19 South Path Drive,U03 Grade Street,1717.44,14.61,10.67
2,40,E19 South Path Drive,U26 A&E Sproul,1573.56,13.39,9.78
2,41,E19 South Path Drive,W06 West Circle,825.1,7.02,5.13
3,0,W18 Campanile Way West Entrance,DEPOT,1246.09,10.6,7.74
3,1,W18 Campanile Way West Entrance,W08 University Drive,714.04,6.08,4.44
3,2,W18 Campanile Way West Entrance,E19 South Path Drive,1423.37,12.1,8.84
3,3,W18 Campanile Way West Entrance,W18 Campanile Way West Entrance,0.0,0.0,0.0
3,4,W18 Campanile Way West Entrance,E14 Physics,1221.99,10.39,7.59
3,5,W18 Campanile Way West Entrance,E14 Physics,1221.99,10.39,7.59
3,6,W18 Campanile Way West Entrance,U16 Durant Hall,243.42,2.07,1.51
3,7,W18 Campanile Way West Entrance,W11 Moffitt Library @ Press,893.89,7.6,5.55
3,8,W18 Campanile Way West Entrance,Bechtel East,1331.87,11.34,8.28
3,9,W18 Campanile Way West Entrance,001 Berkeley Way (Offsite),780.8,6.64,4.85
3,10,W18 Campanile Way West Entrance,W11 Moffitt Library @ Press,893.89,7.6,5.55
3,11,W18 Campanile Way West Entrance,Bechtel East,1331.87,11.34,8.28
3,12,W18 Campanile Way West Entrance,W13 Recreational Sport Facility (LF),800.91,6.82,4.98
3,13,W18 Campanile Way West Entrance,E25 Cronk Gate,1748.76,14.88,10.87
3,14,W18 Campanile Way West Entrance,W02 Crescent,457.92,3.9,2.85
3,15,W18 Campanile Way West Entrance,E06 Sutardja Dali Hall/Yali's 1,1210.68,10.29,7.52
3,16,W18 Campanile Way West Entrance,E29 Campanile East,1246.09,10.6,7.74
3,17,W18 Campanile Way West Entrance,E16 Campanile,1404.81,11.95,8.73
3,18,W18 Campanile Way West Entrance,U09 MLK Ramp,979.09,8.32,6.08
3,19,W18 Campanile Way West Entrance,E13 Stanley Hall,1398.15,11.9,8.69
3,20,W18 Campanile Way West Entrance,U27 Anthony Hall,1383.31,11.77,8.6
3,21,W18 Campanile Way West Entrance,E15 Bancroft Library,1129.49,9.61,7.02
3,22,W18 Campanile Way West Entrance,U05 Cesar Chavez,294.07,2.51,1.83
3,23,W18 Campanile Way West Entrance,U17 Dwinelle Plaza Entry,272.23,2.31,1.69
3,24,W18 Campanile Way West Entrance,E02 North Entrance Memorial Glade,993.77,8.46,6.18
3,25,W18 Campanile Way West Entrance,W12 VLSB/Campanile Way,177.39,1.51,1.1
3,26,W18 Campanile Way West Entrance,E02 North Entrance Memorial Glade,993.77,8.46,6.18
3,27,W18 Campanile Way West Entrance,E05 V&A Cafe/Etcheverry,1189.78,10.12,7.39
3,28,W18 Campanile Way West Entrance,E02 North Entrance Memorial Glade,993.77,8.46,6.18
3,29,W18 Campanile Way West Entrance,E07 Sutardja Dai Hall/Yali's 2,1210.68,10.29,7.52
3,30,W18 Campanile Way West Entrance,U07 Cal Book Store,988.06,8.41,6.14
3,31,W18 Campanile Way West Entrance,E06 Sutardja Dali Hall/Yali's 1,1210.68,10.29,7.52
3,32,W18 Campanile Way West Entrance,E03 University Library,1129.49,9.61,7.02
3,33,W18 Campanile Way West Entrance,U33 Spieker Plaza,873.89,7.43,5.43
3,34,W18 Campanile Way West Entrance,W17 Mulford Hall,704.5,6.0,4.38
3,35,W18 Campanile Way West Entrance,W16 VLSB Northside,788.11,6.71,4.9
3,36,W18 Campanile Way West Entrance,U28 Wheeler,1348.93,11.47,8.38
3,37,W18 Campanile Way West Entrance,E30 Tan Hall North Side,1327.91,11.29,8.25
3,38,W18 Campanile Way West Entrance,Hearst Gym Annex,1195.42,10.17,7.43
3,39,W18 Campanile Way West Entrance,U03 Grade Street,294.07,2.51,1.83
3,40,W18 Campanile Way West Entrance,U26 A&E Sproul,1562.02,13.29,9.71
3,41,W18 Campanile Way West Entrance,W06 West Circle,598.27,5.09,3.72
4,0,E14 Physics,DEPOT,209.09,1.78,1.3
4,1,E14 Physics,W08 University Drive,507.94,4.33,3.16
4,2,E14 Physics,E19 South Path Drive,243.43,2.07,1.51
4,3,E14 Physics,W18 Campanile Way West Entrance,1221.99,10.39,7.59
4,4,E14 Physics,E14 Physics,0.0,0.0,0.0
4,5,E14 Physics,E14 Physics,0.0,0.0,0.0
4,6,E14 Physics,U16 Durant Hall,1465.41,12.47,9.11
4,7,E14 Physics,W11 Moffitt Library @ Press,328.1,2.79,2.04
