Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline,rolling_day
1515710,Waste,0,T2,66.19,44.13,48.57,48.57,4.0,2
1515711,Waste,0,T3,116.66,77.77,83.32,83.32,5.0,2
1515714,Compostables,0,T1,69.28,46.19,57.84,69.41,2.0,2
1515715,Compostables,0,T1,87.66,58.44,69.14,82.97,1.0,2
1515718,Compostables,0,T1,60.49,40.33,44.93,53.92,3.0,2
1515727,Bottles/Cans,0,T4,77.77,51.84,5.0,1.5,0.0,2
1515729,Bottles/Cans,0,T4,58.75,39.17,5.0,1.5,0.0,2
1515731,Bottles/Cans,0,T4,77.14,51.42,5.0,1.5,0.0,2
1515734,Bottles/Cans,0,T4,89.08,59.39,15.44,4.63,0.0,2
1515735,Bottles/Cans,0,T4,55.07,36.71,0.0,0.0,0.0,2
1515740,Bottles/Cans,0,T4,54.64,36.43,0.0,0.0,0.0,2
1515745,Waste,0,T2,89.96,59.97,17.06,17.06,0.0,2
1515747,Waste,0,T3,116.99,78.0,83.99,83.99,5.0,2
1515751,Compostables,0,T1,120.01,80.01,69.8,83.76,1.0,2
1515758,Compostables,0,T1,91.86,61.24,91.86,110.23,3.0,2
1515759,Compostables,0,T1,119.23,79.49,119.23,143.08,3.0,2
1515760,Bottles/Cans,0,T4,102.12,68.08,39.64,11.89,0.0,2
1515764,Bottles/Cans,0,T4,13.94,9.3,5.0,1.5,0.0,2
1515771,Bottles/Cans,0,T4,21.14,14.09,0.0,0.0,0.0,2
1515775,Bottles/Cans,0,T4,135.38,90.26,101.43,30.43,0.0,2
1516524,Bottles/Cans,0,T4,52.24,34.82,5.0,1.5,0.0,2
1516532,Bottles/Cans,0,T4,93.6,62.4,23.83,7.15,0.0,2
1516533,Bottles/Cans,0,T4,30.9,20.6,5.0,1.5,0.0,2
1516535,Bottles/Cans,0,T4,82.34,54.89,7.34,2.2,0.0,2
1516548,Waste,0,T3,64.74,43.16,44.21,44.21,4.0,2
1516555,Waste,0,T3,54.94,36.63,14.82,14.82,4.0,2
1516556,Waste,0,T2,94.86,63.24,26.16,26.16,0.0,2
1520909,Bottles/Cans,0,T4,57.65,38.43,0.0,0.0,0.0,2
1520913,Waste,0,T3,69.59,46.39,58.77,58.77,4.0,2
2502339,Bottles/Cans,0,T4,109.59,73.06,53.53,16.06,0.0,2
2503766,Waste,0,T3,69.37,46.25,58.1,58.1,4.0,2
2503769,Waste,0,T3,109.61,73.07,53.56,53.56,0.0,2
2503773,Bottles/Cans,0,T4,23.83,15.89,5.0,1.5,0.0,2
2503774,Bottles/Cans,0,T4,76.68,51.12,5.0,1.5,0.0,2
