Serial,Description,stream,threshold_pct,threshold_pct_raw,density_lb_per_gal,days_since_last_service,days_since_last_service_raw,daily_fill_growth_pct,current_fill_pct_est,bin_capacity_gal,avg_service_min,avg_travel_proxy_min,avg_travel_proxy_min_phase1,Stop_ID,service_walk_min,Lat,Lng,Access_Lat,Access_Lng,fill_day_0,fill_day_1,fill_day_2,fill_day_3,fill_day_4,fill_day_5,fill_day_6,pickup_gal_day_0,pickup_gal_day_1,pickup_gal_day_2,pickup_gal_day_3,pickup_gal_day_4,pickup_gal_day_5,pickup_gal_day_6,pickup_lb_day_0,pickup_lb_day_1,pickup_lb_day_2,pickup_lb_day_3,pickup_lb_day_4,pickup_lb_day_5,pickup_lb_day_6,bin_over_safe_lb_day_0,bin_over_safe_lb_day_1,bin_over_safe_lb_day_2,bin_over_safe_lb_day_3,bin_over_safe_lb_day_4,bin_over_safe_lb_day_5,bin_over_safe_lb_day_6,bin_over_hard_lb_day_0,bin_over_hard_lb_day_1,bin_over_hard_lb_day_2,bin_over_hard_lb_day_3,bin_over_hard_lb_day_4,bin_over_hard_lb_day_5,bin_over_hard_lb_day_6,deadline_threshold,deadline_interval,service_deadline,initial_deadline_threshold_no_service,initial_deadline_interval_no_service,initial_service_deadline_no_service,must_service_within_horizon,anchor_date,horizon_day_0,fill_gal,growth_gal_per_day,rolling_day,fill_pct_start
1503614,W08 University Drive,Compostables,60.0,60,1.2,7.0,7.0,15.744157441574416,110.20910209102091,150.0,4.0,10.0,10.0,1503614,0.0,37.872760765013,-122.26242743432522,37.872760765013,-122.26242743432522,110.20910209102091,125.0,125.0,125.0,125.0,125.0,125.0,165.31365313653134,187.5,187.5,187.5,187.5,187.5,187.5,198.3763837638376,225.0,225.0,225.0,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,165.31365313653134,23.616236162361623,1,110.20910209102091
1503637,E22 May Morrison Hall,Compostables,60.0,60,1.2,5.0,5.0,12.254664577695486,61.27332288847743,150.0,4.0,10.0,10.0,1503637,0.0,37.87094703497266,-122.25633848458529,37.87094703497266,-122.25633848458529,61.27332288847743,73.52798746617292,85.78265204386841,98.03731662156389,110.29198119925937,122.54664577695486,125.0,91.90998433271614,110.29198119925937,128.67397806580263,147.05597493234583,165.43797179888904,183.81996866543227,187.5,110.29198119925935,132.35037743911124,154.40877367896314,176.467169918815,198.52556615866683,220.5839623985187,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,0.0,0.0,2.0,0.0,True,2026-02-20,2026-02-20,91.90998433271614,18.38199686654323,1,61.27332288847742
1503642,E14 Physics,Bottles/Cans,,60,0.3,7.0,7.0,5.003764406092547,35.02635084264783,150.0,4.0,10.0,10.0,1503642,0.0,37.87269909945424,-122.25787103176118,37.87269909945424,-122.25787103176118,35.02635084264783,40.03011524874037,45.03387965483292,50.03764406092547,55.041408467018016,60.04517287311056,65.0489372792031,52.539526263971744,60.04517287311056,67.55081948224938,75.05646609138822,82.56211270052704,90.06775930966583,97.57340591880465,15.761857879191522,18.013551861933166,20.265245844674812,22.516939827416465,24.76863381015811,27.02032779289975,29.272021775641395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,52.539526263971744,7.50564660913882,1,35.02635084264783
1503647,E28 Library/Campanile Way,Bottles/Cans,,60,0.3,7.0,7.0,0.0,0.0,150.0,4.0,10.0,10.0,1503647,0.0,37.87172752492091,-122.2589030330658,37.87172752492091,-122.2589030330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,0.0,0.0,1,0.0
1503651,E14 Physics,Compostables,60.0,60,1.2,7.0,7.0,8.080812056929451,56.56568439850616,150.0,4.0,10.0,10.0,1503651,0.0,37.87269698218092,-122.25786969065668,37.87269698218092,-122.25786969065668,56.56568439850616,64.64649645543561,72.72730851236506,80.80812056929452,88.88893262622396,96.96974468315341,105.05055674008287,84.84852659775923,96.96974468315342,109.09096276854758,121.21218085394177,133.33339893933595,145.4546170247301,157.5758351101243,101.81823191731108,116.3636936197841,130.9091553222571,145.4546170247301,160.00007872720315,174.54554042967612,189.09100213214916,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,0.0,1.0,0.0,0.0,True,2026-02-20,2026-02-20,84.84852659775923,12.121218085394178,1,56.56568439850615
1514001,U16 Durant Hall,Compostables,60.0,60,1.2,8.0,8.0,9.59040959040959,76.72327672327673,150.0,4.0,10.0,10.0,1514001,0.0,37.87141963377396,-122.26046757783944,37.87141963377396,-122.26046757783944,76.72327672327673,86.31368631368632,95.90409590409591,105.49450549450549,115.08491508491508,124.67532467532467,125.0,115.08491508491508,129.47052947052947,143.85614385614386,158.24175824175825,172.6273726273726,187.012987012987,187.5,138.1018981018981,155.36463536463535,172.62737262737264,189.8901098901099,207.15284715284713,224.4155844155844,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,115.08491508491508,14.385614385614385,1,76.72327672327673
1514003,W11 Moffitt Library @ Press,Compostables,60.0,60,1.2,8.0,8.0,17.151152636087517,125.0,150.0,4.0,10.0,10.0,1514003,0.0,37.87282221217865,-122.26011595483082,37.87282221217865,-122.26011595483082,125.0,125.0,125.0,125.0,125.0,125.0,125.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5,225.0,225.0,225.0,225.0,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,187.5,25.726728954131275,1,125.0
1514004,Bechtel East,Compostables,60.0,60,1.2,7.0,7.0,7.284704148144736,50.992929037013155,150.0,4.0,10.0,10.0,1514004,0.0,37.87392909537397,-122.257781243598,37.87392909537397,-122.257781243598,50.992929037013155,58.27763318515789,65.56233733330262,72.84704148144736,80.1317456295921,87.41644977773683,94.70115392588157,76.48939355551974,87.41644977773683,98.34350599995395,109.27056222217105,120.19761844438816,131.12467466660524,142.05173088882236,91.78727226662369,104.89973973328419,118.01220719994473,131.12467466660524,144.2371421332658,157.34960959992628,170.46207706658683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,0.0,0.0,2.0,0.0,0.0,True,2026-02-20,2026-02-20,76.48939355551974,10.927056222217104,1,50.992929037013155
1514021,001 Berkeley Way (Offsite),Bottles/Cans,,60,0.3,10.0,10.0,5.565217391304348,55.65217391304348,150.0,4.0,10.0,10.0,1514021,0.0,37.87364339729022,-122.26740393787624,37.87364339729022,-122.26740393787624,55.65217391304348,61.21739130434783,66.78260869565217,72.34782608695652,77.91304347826087,83.47826086956522,89.04347826086956,83.47826086956522,91.82608695652173,100.17391304347827,108.52173913043478,116.86956521739131,125.21739130434781,133.56521739130434,25.043478260869566,27.54782608695652,30.05217391304348,32.55652173913043,35.060869565217395,37.565217391304344,40.0695652173913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,83.47826086956522,8.347826086956522,1,55.65217391304348
1514026,W11 Moffitt Library @ Press,Waste,60.0,60,1.0,6.0,6.0,28.20763956904995,125.0,150.0,4.0,10.0,10.0,1514026,0.0,37.87282512342449,-122.2601156195547,37.87282512342449,-122.2601156195547,125.0,125.0,125.0,125.0,125.0,125.0,125.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,187.5,42.31145935357492,1,125.0
