day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min,rolling_day
0,Compostables,T2,VRP,25,9,1515687.0,1515687.0,U20 Sproul Hall UCPD,0,88,106,4,1
0,Compostables,T2,VRP,26,17,1515759.0,1515759.0,U09 MLK Ramp,0,60,72,4,1
0,Compostables,T2,VRP,27,0,,,DEPOT,1,0,0,0,1
0,Waste,T1,VRP,1,0,,,DEPOT,1,0,0,0,1
0,Waste,T1,VRP,2,28,2503769.0,2503769.0,U03 Grade Street,0,94,94,4,1
0,Waste,T1,VRP,3,22,1515747.0,1515747.0,U17 Dwinelle Plaza Entry,0,58,58,4,1
0,Waste,T1,VRP,4,8,1515670.0,1515670.0,W01 Lower Crescent,0,85,85,4,1
0,Waste,T1,VRP,5,10,1515674.0,1515674.0,W02 Crescent,0,188,188,4,1
0,Waste,T1,VRP,6,3,1514026.0,1514026.0,W11 Moffitt Library @ Press,0,188,188,4,1
0,Waste,T1,VRP,7,23,1516554.0,1516554.0,W16 VLSB Northside,0,164,164,4,1
0,Waste,T1,VRP,8,16,1515703.0,1515703.0,E09- East Asian Library,0,45,45,4,1
0,Waste,T1,VRP,9,20,1515743.0,1515743.0,E02 North Entrance Memorial Glade,0,188,188,4,1
0,Waste,T1,VRP,10,15,1515700.0,1515700.0,E06 Sutardja Dali Hall/Yali's 1,0,48,48,4,1
0,Waste,T1,VRP,11,9,1515673.0,1515673.0,E04 North Gate Entrance,0,85,85,4,1
0,Waste,T1,VRP,12,17,1515704.0,1515704.0,E05 V&A Cafe/Etcheverry,0,74,74,4,1
0,Waste,T1,VRP,13,19,1515742.0,1515742.0,E03 University Library,0,182,182,4,1
0,Waste,T1,VRP,14,6,1515666.0,1515666.0,E16 Campanile,0,68,68,4,1
0,Waste,T1,VRP,15,24,1516556.0,1516556.0,U28 Wheeler,0,81,81,4,1
0,Waste,T1,VRP,16,1,1503621.0,1503621.0,E19 South Path Drive,0,79,79,4,1
0,Waste,T1,VRP,17,4,1514027.0,1514027.0,Bechtel East,0,105,105,4,1
0,Waste,T1,VRP,18,7,1515668.0,1515668.0,E25 Cronk Gate,0,88,88,4,1
0,Waste,T1,VRP,19,2,1514023.0,1514023.0,U25 Anthropology and Art Practice (Landfill),0,62,62,4,1
0,Waste,T1,VRP,20,26,2503766.0,2503766.0,U21 Social Sciences Building,0,46,46,4,1
0,Waste,T1,VRP,21,12,1515692.0,1515692.0,U15 Sather Gate,0,47,47,4,1
0,Waste,T1,VRP,22,27,2503767.0,2503767.0,U26 A&E Sproul,0,58,58,4,1
0,Waste,T1,VRP,23,11,1515680.0,1515680.0,U10 GoldenBear Walkway,0,55,55,4,1
0,Waste,T1,VRP,24,25,1520915.0,1520915.0,Hearst Gym Annex,0,146,146,4,1
0,Waste,T1,VRP,25,18,1515711.0,1515711.0,U07 Cal Book Store,0,58,58,4,1
0,Waste,T1,VRP,26,14,1515696.0,1515696.0,U08 MLK Courtyard,0,61,61,4,1
0,Waste,T1,VRP,27,21,1515744.0,1515744.0,U13 Bancroft Way,0,50,50,4,1
0,Waste,T1,VRP,28,13,1515693.0,1515693.0,U12 Upper MLK Union,0,49,49,4,1
0,Waste,T1,VRP,29,5,1514031.0,1514031.0,W13 Recreational Sport Facility (LF),0,91,91,4,1
0,Waste,T1,VRP,30,0,,,DEPOT,1,0,0,0,1
0,Bottles/Cans,T1,VRP,1,0,,,DEPOT,1,0,0,0,2
0,Bottles/Cans,T1,VRP,2,12,1515773.0,1515773.0,U07 Cal Book Store,0,161,48,4,2
0,Bottles/Cans,T1,VRP,3,8,1515740.0,1515740.0,U04 Zellerbach,0,55,16,4,2
0,Bottles/Cans,T1,VRP,4,6,1515735.0,1515735.0,U20 Sproul Hall UCPD,0,55,17,4,2
0,Bottles/Cans,T1,VRP,5,14,1515778.0,1515778.0,U15 Sather Gate,0,83,25,4,2
0,Bottles/Cans,T1,VRP,6,13,1515777.0,1515777.0,U14 Sproul Hall Steps,0,68,21,4,2
0,Bottles/Cans,T1,VRP,7,15,1516524.0,1516524.0,U30 Birge Path,0,52,16,4,2
0,Bottles/Cans,T1,VRP,8,1,1503639.0,1503639.0,E22 May Morrison Hall,0,39,12,4,2
0,Bottles/Cans,T1,VRP,9,5,1515734.0,1515734.0,U19 Wheeler Walkway,0,89,27,4,2
0,Bottles/Cans,T1,VRP,10,10,1515764.0,1515764.0,E29 Campanile East,0,14,4,4,2
0,Bottles/Cans,T1,VRP,11,11,1515771.0,1515771.0,E12 Evans Hall Bus Stop,0,21,6,4,2
0,Bottles/Cans,T1,VRP,12,4,1514018.0,1514018.0,Bechtel East,0,27,8,4,2
0,Bottles/Cans,T1,VRP,13,9,1515760.0,1515760.0,E23 Glade Path,0,102,31,4,2
0,Bottles/Cans,T1,VRP,14,2,1514013.0,1514013.0,W11 Moffitt Library @ Press,0,124,37,4,2
0,Bottles/Cans,T1,VRP,15,17,2503773.0,2503773.0,U03 Grade Street,0,24,7,4,2
0,Bottles/Cans,T1,VRP,16,7,1515739.0,1515739.0,U17 Dwinelle Plaza Entry,0,163,49,4,2
0,Bottles/Cans,T1,VRP,17,3,1514014.0,1514014.0,U16 Durant Hall,0,28,8,4,2
0,Bottles/Cans,T1,VRP,18,16,2502339.0,2502339.0,W18 Campanile Way West Entrance,0,110,33,4,2
0,Bottles/Cans,T1,VRP,19,0,,,DEPOT,1,0,0,0,2
0,Compostables,T3,VRP,1,0,,,DEPOT,1,0,0,0,2
0,Compostables,T3,VRP,2,2,1514002.0,1514002.0,W13 Recreational Sport Facility (Compost),0,52,63,4,2
0,Compostables,T3,VRP,3,18,1515818.0,1515818.0,U04 Zellerbach,0,48,58,4,2
0,Compostables,T3,VRP,4,8,1515689.0,1515689.0,U06 Bear's Lair,0,30,37,4,2
0,Compostables,T3,VRP,5,12,1515749.0,1515749.0,U07 Cal Book Store,0,53,63,4,2
0,Compostables,T3,VRP,6,13,1515753.0,1515753.0,U08 MLK Courtyard,0,60,72,4,2
0,Compostables,T3,VRP,7,6,1515685.0,1515685.0,U13 Bancroft Way,0,78,93,4,2
0,Compostables,T3,VRP,8,16,1515790.0,1515790.0,U12 Upper MLK Union,0,67,80,4,2
0,Compostables,T3,VRP,9,21,1520924.0,1520924.0,Hearst Gym Annex,0,61,73,4,2
0,Compostables,T3,VRP,10,3,1514005.0,1514005.0,U25 Anthropology and Art Practice (Compost),0,62,75,4,2
0,Compostables,T3,VRP,11,22,1520925.0,1520925.0,Stadium Gate 3,0,19,23,4,2
0,Compostables,T3,VRP,12,4,1514007.0,1514007.0,E21 Cafe Think,0,24,29,4,2
0,Compostables,T3,VRP,13,11,1515748.0,1515748.0,E12 Evans Hall Bus Stop,0,39,47,4,2
0,Compostables,T3,VRP,14,10,1515718.0,1515718.0,U18 Dwinelle Walkway,0,60,73,4,2
0,Compostables,T3,VRP,15,19,1516538.0,1516538.0,U28 Wheeler,0,63,76,4,2
0,Compostables,T3,VRP,16,9,1515712.0,1515712.0,E09- East Asian Library,0,27,32,4,2
0,Compostables,T3,VRP,17,23,2503761.0,2503761.0,W06 West Circle,0,56,67,4,2
0,Compostables,T3,VRP,18,5,1514010.0,1514010.0,W05 Brown’s Cafe,0,58,70,4,2
0,Compostables,T3,VRP,19,20,1516539.0,1516539.0,W15 Koshland,0,38,46,4,2
0,Compostables,T3,VRP,20,7,1515688.0,1515688.0,W01 Lower Crescent,0,52,63,4,2
0,Compostables,T3,VRP,21,1,1503616.0,1503616.0,W18 Campanile Way West Entrance,0,44,53,4,2
0,Compostables,T3,VRP,22,14,1515757.0,1515757.0,W12 VLSB/Campanile Way,0,52,63,4,2
0,Compostables,T3,VRP,23,17,1515791.0,1515791.0,U05 Cesar Chavez,0,89,107,4,2
0,Compostables,T3,VRP,24,15,1515758.0,1515758.0,U17 Dwinelle Plaza Entry,0,92,110,4,2
0,Compostables,T3,VRP,25,0,,,DEPOT,1,0,0,0,2
0,Waste,T2,VRP,1,0,,,DEPOT,1,0,0,0,2
0,Waste,T2,VRP,2,9,1515783.0,1515783.0,U05 Cesar Chavez,0,64,64,4,2
0,Waste,T2,VRP,3,7,1515694.0,1515694.0,U11 Golden Bear NE,0,59,59,4,2
0,Waste,T2,VRP,4,8,1515745.0,1515745.0,W12 VLSB/Campanile Way,0,90,90,4,2
0,Waste,T2,VRP,5,3,1514032.0,1514032.0,W05 Brown’s Cafe,0,37,37,4,2
0,Waste,T2,VRP,6,13,2503768.0,2503768.0,W06 West Circle,0,78,78,4,2
0,Waste,T2,VRP,7,10,1516548.0,1516548.0,W17 Mulford Hall,0,65,65,4,2
0,Waste,T2,VRP,8,2,1514024.0,1514024.0,Bechtel West,0,84,84,4,2
0,Waste,T2,VRP,9,4,1515667.0,1515667.0,U18 Dwinelle Walkway,0,83,83,4,2
0,Waste,T2,VRP,10,11,1516553.0,1516553.0,E27 Coffee Lab,0,35,35,4,2
0,Waste,T2,VRP,11,1,1514022.0,1514022.0,Chiet Hall 2,0,55,55,4,2
0,Waste,T2,VRP,12,12,1520913.0,1520913.0,U23 Law Building west of Heyman Terrace,0,70,70,4,2
0,Waste,T2,VRP,13,5,1515671.0,1515671.0,"U24 Rice & Bones, Wurster",0,89,89,4,2
0,Waste,T2,VRP,14,6,1515678.0,1515678.0,U20 Sproul Hall UCPD,0,47,47,4,2
0,Waste,T2,VRP,15,0,,,DEPOT,1,0,0,0,2
0,Bottles/Cans,T3,SingleTruckRoute,1,0,,,DEPOT,1,0,0,0,3
0,Bottles/Cans,T3,SingleTruckRoute,2,6,500103011.0,500103011.0,Golden Bear Cafe,0,110,33,4,3
0,Bottles/Cans,T3,SingleTruckRoute,3,5,1516530.0,1516530.0,U33 Spieker Plaza,0,11,3,4,3
0,Bottles/Cans,T3,SingleTruckRoute,4,3,1515770.0,1515770.0,U10 Golden Bear Walkway,0,112,33,4,3
0,Bottles/Cans,T3,SingleTruckRoute,5,1,1515733.0,1515733.0,E08 Cory Hall,0,16,5,4,3
0,Bottles/Cans,T3,SingleTruckRoute,6,2,1515765.0,1515765.0,E02 North Entrance Memorial Glade,0,13,4,4,3
0,Bottles/Cans,T3,SingleTruckRoute,7,4,1515775.0,1515775.0,U18 Dwinelle Walkway,0,19,6,4,3
0,Bottles/Cans,T3,SingleTruckRoute,8,0,,,DEPOT,1,0,0,0,3
0,Compostables,T2,SingleTruckRoute,1,0,,,DEPOT,1,0,0,0,3
0,Compostables,T2,SingleTruckRoute,2,4,1515759.0,1515759.0,U09 MLK Ramp,0,60,72,4,3
0,Compostables,T2,SingleTruckRoute,3,2,1515751.0,1515751.0,U14 Sproul Hall Steps,0,30,36,4,3
0,Compostables,T2,SingleTruckRoute,4,3,1515755.0,1515755.0,U10 GoldenBear Walkway,0,47,56,4,3
0,Compostables,T2,SingleTruckRoute,5,7,1515786.0,1515786.0,U15 Sather Gate,0,35,42,4,3
0,Compostables,T2,SingleTruckRoute,6,9,2503760.0,2503760.0,U26 A&E Sproul,0,22,27,4,3
0,Compostables,T2,SingleTruckRoute,7,5,1515784.0,1515784.0,U19 Wheeler Walkway,0,25,30,4,3
0,Compostables,T2,SingleTruckRoute,8,1,1515719.0,1515719.0,W03 Li Ka Shing Hall,0,45,54,4,3
0,Compostables,T2,SingleTruckRoute,9,8,1516549.0,1516549.0,W17 Mulford Hall,0,74,89,4,3
0,Compostables,T2,SingleTruckRoute,10,6,1515785.0,1515785.0,U02 Spieker Plaza Center,0,70,84,4,3
0,Compostables,T2,SingleTruckRoute,11,10,500103012.0,500103012.0,Golden Bear Cafe,0,85,102,4,3
0,Compostables,T2,SingleTruckRoute,12,0,,,DEPOT,1,0,0,0,3
0,Waste,T1,VRP,1,0,,,DEPOT,1,0,0,0,3
0,Waste,T1,VRP,2,17,1515747.0,1515747.0,U17 Dwinelle Plaza Entry,0,58,58,4,3
0,Waste,T1,VRP,3,3,1503633.0,1503633.0,W18 Campanile Way West Entrance,0,73,73,4,3
0,Waste,T1,VRP,4,5,1515669.0,1515669.0,W03 Li Ka Shing Hall,0,64,64,4,3
0,Waste,T1,VRP,5,2,1503632.0,1503632.0,W08 University Drive,0,79,79,4,3
0,Waste,T1,VRP,6,11,1515695.0,1515695.0,E15 Bancroft Library,0,73,73,4,3
0,Waste,T1,VRP,7,14,1515710.0,1515710.0,E29 Campanile East,0,88,88,4,3
0,Waste,T1,VRP,8,13,1515702.0,1515702.0,U19 Wheeler Walkway,0,62,62,4,3
0,Waste,T1,VRP,9,21,2503765.0,2503765.0,E18 Latimer Courtyard,0,74,74,4,3
0,Waste,T1,VRP,10,1,1503624.0,1503624.0,E22 May Morrison Hall,0,89,89,4,3
0,Waste,T1,VRP,11,20,1516551.0,1516551.0,U30 Birge Path,0,68,68,4,3
0,Waste,T1,VRP,12,4,1514028.0,1514028.0,E24 Chiet Hall,0,47,47,4,3
0,Waste,T1,VRP,13,9,1515692.0,1515692.0,U15 Sather Gate,0,47,47,4,3
0,Waste,T1,VRP,14,8,1515680.0,1515680.0,U10 GoldenBear Walkway,0,55,55,4,3
0,Waste,T1,VRP,15,6,1515672.0,1515672.0,U14 Sproul Hall Steps,0,92,92,4,3
0,Waste,T1,VRP,16,16,1515744.0,1515744.0,U13 Bancroft Way,0,50,50,4,3
0,Waste,T1,VRP,17,15,1515711.0,1515711.0,U07 Cal Book Store,0,58,58,4,3
0,Waste,T1,VRP,18,12,1515696.0,1515696.0,U08 MLK Courtyard,0,61,61,4,3
0,Waste,T1,VRP,19,10,1515693.0,1515693.0,U12 Upper MLK Union,0,49,49,4,3
0,Waste,T1,VRP,20,18,1515780.0,1515780.0,U09 MLK Ramp,0,89,89,4,3
0,Waste,T1,VRP,21,7,1515679.0,1515679.0,U04 Zellerbach,0,87,87,4,3
0,Waste,T1,VRP,22,19,1516550.0,1516550.0,U33 Spieker Plaza,0,90,90,4,3
0,Waste,T1,VRP,23,0,,,DEPOT,1,0,0,0,3
0,Bottles/Cans,T3,SingleTruckRoute,1,0,,,DEPOT,1,0,0,0,4
0,Bottles/Cans,T3,SingleTruckRoute,2,2,1515773.0,1515773.0,U07 Cal Book Store,0,23,7,4,4
0,Bottles/Cans,T3,SingleTruckRoute,3,3,1516531.0,1516531.0,W17 Mulford Hall,0,70,21,4,4
0,Bottles/Cans,T3,SingleTruckRoute,4,1,1515721.0,1515721.0,U02 Spieker Plaza Center,0,33,10,4,4
0,Bottles/Cans,T3,SingleTruckRoute,5,0,,,DEPOT,1,0,0,0,4
0,Compostables,T2,SingleTruckRoute,1,0,,,DEPOT,1,0,0,0,4
0,Compostables,T2,SingleTruckRoute,2,2,1515687.0,1515687.0,U20 Sproul Hall UCPD,0,29,35,4,4
0,Compostables,T2,SingleTruckRoute,3,4,1515753.0,1515753.0,U08 MLK Courtyard,0,60,72,4,4
0,Compostables,T2,SingleTruckRoute,4,3,1515749.0,1515749.0,U07 Cal Book Store,0,53,63,4,4
0,Compostables,T2,SingleTruckRoute,5,7,1520928.0,1520928.0,U23 Law Building west of Heyman Terrace,0,87,104,4,4
0,Compostables,T2,SingleTruckRoute,6,6,1516541.0,1516541.0,E31 South Hall Rd. Near Clock Tower,0,34,41,4,4
0,Compostables,T2,SingleTruckRoute,7,5,1516539.0,1516539.0,W15 Koshland,0,19,23,4,4
0,Compostables,T2,SingleTruckRoute,8,1,1514010.0,1514010.0,W05 Brown’s Cafe,0,58,70,4,4
0,Compostables,T2,SingleTruckRoute,9,0,,,DEPOT,1,0,0,0,4
0,Waste,T1,VRP,1,0,,,DEPOT,1,0,0,0,4
0,Waste,T1,VRP,2,9,1515677.0,1515677.0,U06 Bear's Lair,0,88,88,4,4
0,Waste,T1,VRP,3,20,2503766.0,2503766.0,U21 Social Sciences Building,0,46,46,4,4
0,Waste,T1,VRP,4,8,1515675.0,1515675.0,U27 Anthony Hall,0,80,80,4,4
0,Waste,T1,VRP,5,18,1516555.0,1516555.0,U32 HFA / Hearst Gym - West Side,0,92,92,4,4
0,Waste,T1,VRP,6,2,1514023.0,1514023.0,U25 Anthropology and Art Practice (Landfill),0,62,62,4,4
0,Waste,T1,VRP,7,4,1514029.0,1514029.0,E21 Cafe Think,0,74,74,4,4
0,Waste,T1,VRP,8,19,1520913.0,1520913.0,U23 Law Building west of Heyman Terrace,0,23,23,4,4
0,Waste,T1,VRP,9,5,1515666.0,1515666.0,E16 Campanile,0,45,45,4,4
0,Waste,T1,VRP,10,1,1503628.0,1503628.0,E28 Library/Campanile Way,0,83,83,4,4
0,Waste,T1,VRP,11,12,1515697.0,1515697.0,E13 Stanley Hall,0,90,90,4,4
0,Waste,T1,VRP,12,16,1515746.0,1515746.0,E23 Glade Path,0,78,78,4,4
0,Waste,T1,VRP,13,14,1515742.0,1515742.0,E03 University Library,0,61,61,4,4
0,Waste,T1,VRP,14,6,1515673.0,1515673.0,E04 North Gate Entrance,0,85,85,4,4
0,Waste,T1,VRP,15,15,1515743.0,1515743.0,E02 North Entrance Memorial Glade,0,64,64,4,4
0,Waste,T1,VRP,16,17,1516554.0,1516554.0,W16 VLSB Northside,0,55,55,4,4
0,Waste,T1,VRP,17,13,1515699.0,1515699.0,E01 California Hall,0,86,86,4,4
0,Waste,T1,VRP,18,3,1514026.0,1514026.0,W11 Moffitt Library @ Press,0,85,85,4,4
0,Waste,T1,VRP,19,7,1515674.0,1515674.0,W02 Crescent,0,70,70,4,4
0,Waste,T1,VRP,20,11,1515694.0,1515694.0,U11 Golden Bear NE,0,59,59,4,4
0,Waste,T1,VRP,21,10,1515681.0,1515681.0,U02 Spieker Plaza Center,0,84,84,4,4
0,Waste,T1,VRP,22,0,,,DEPOT,1,0,0,0,4
0,Bottles/Cans,T3,VRP,1,0,,,DEPOT,1,0,0,0,5
0,Bottles/Cans,T3,VRP,2,5,500103011.0,500103011.0,Golden Bear Cafe,0,55,17,4,5
0,Bottles/Cans,T3,VRP,3,3,1515724.0,1515724.0,U11 Golden Bear Cafe Entry,0,104,31,4,5
0,Bottles/Cans,T3,VRP,4,1,1514017.0,1514017.0,W13 Recreational Sport Facility (B/C),0,114,34,4,5
0,Bottles/Cans,T3,VRP,5,2,1514019.0,1514019.0,U25 Anthropology and Art Practice (B/C),0,89,27,4,5
0,Bottles/Cans,T3,VRP,6,4,1515732.0,1515732.0,E04 North Gate Entrance,0,89,27,4,5
0,Bottles/Cans,T3,VRP,7,0,,,DEPOT,1,0,0,0,5
0,Compostables,T1,VRP,1,0,,,DEPOT,1,0,0,0,5
0,Compostables,T1,VRP,2,24,1516544.0,1516544.0,U33 Spieker Plaza,0,59,71,4,5
0,Compostables,T1,VRP,3,22,1515818.0,1515818.0,U04 Zellerbach,0,48,58,4,5
0,Compostables,T1,VRP,4,17,1515759.0,1515759.0,U09 MLK Ramp,0,60,72,4,5
0,Compostables,T1,VRP,5,20,1515790.0,1515790.0,U12 Upper MLK Union,0,67,80,4,5
0,Compostables,T1,VRP,6,8,1515685.0,1515685.0,U13 Bancroft Way,0,78,93,4,5
0,Compostables,T1,VRP,7,18,1515786.0,1515786.0,U15 Sather Gate,0,35,42,4,5
0,Compostables,T1,VRP,8,14,1515755.0,1515755.0,U10 GoldenBear Walkway,0,47,56,4,5
